date,headlines,tickers_covered
2020-01-02,138,39
2020-01-03,91,31
2020-01-06,164,42
2020-01-07,105,34
2020-01-08,116,33
2020-01-09,98,40
2020-01-10,103,42
2020-01-13,181,38
2020-01-14,126,33
2020-01-15,152,37
2020-01-16,144,37
2020-01-17,165,39
2020-01-21,241,45
2020-01-22,119,36
2020-01-23,166,46
2020-01-24,182,40
2020-01-27,202,43
2020-01-28,178,39
2020-01-29,175,40
2020-01-30,182,40
2020-01-31,177,41
2020-02-03,196,42
2020-02-04,174,44
2020-02-05,201,39
2020-02-06,151,42
2020-02-07,124,37
2020-02-10,172,43
2020-02-11,190,41
2020-02-12,130,42
2020-02-13,191,44
2020-02-14,146,37
2020-02-18,253,45
2020-02-19,129,40
2020-02-20,193,39
2020-02-21,124,40
2020-02-24,192,45
2020-02-25,150,43
2020-02-26,189,42
2020-02-27,211,46
2020-02-28,176,43
2020-03-02,197,44
2020-03-03,149,41
2020-03-04,146,44
2020-03-05,140,43
2020-03-06,153,37
2020-03-09,230,46
2020-03-10,172,43
2020-03-11,163,44
2020-03-12,218,44
2020-03-13,172,41
2020-03-16,262,45
2020-03-17,164,42
2020-03-18,168,41
2020-03-19,156,38
2020-03-20,181,40
2020-03-23,244,47
2020-03-24,186,44
2020-03-25,159,41
2020-03-26,175,46
2020-03-27,149,39
2020-03-30,183,45
2020-03-31,137,43
2020-04-01,163,44
2020-04-02,176,42
2020-04-03,190,40
2020-04-06,312,44
2020-04-07,234,46
2020-04-08,229,42
2020-04-09,290,47
2020-04-13,345,46
2020-04-14,226,41
2020-04-15,262,45
2020-04-16,304,44
2020-04-17,314,43
2020-04-20,319,46
2020-04-21,230,47
2020-04-22,232,44
2020-04-23,259,46
2020-04-24,206,39
2020-04-27,346,49
2020-04-28,319,45
2020-04-29,404,44
2020-04-30,321,47
2020-05-01,340,44
2020-05-04,299,47
2020-05-05,299,46
2020-05-06,247,42
2020-05-07,181,42
2020-05-08,203,40
2020-05-11,247,46
2020-05-12,202,42
2020-05-13,217,44
2020-05-14,219,49
2020-05-15,258,48
2020-05-18,268,47
2020-05-19,155,39
2020-05-20,182,42
2020-05-21,157,45
2020-05-22,135,39
2020-05-26,248,44
2020-05-27,175,40
2020-05-28,196,47
2020-05-29,152,40
2020-06-01,221,44
