fund_id,label,family,method,ann_factor,ann_return,ann_vol,sharpe,max_drawdown,growth_of_1,avg_turnover,net_sharpe_10bps,oos_start,oos_end
combined_equal_weight,Combined Equal Weight,combined,equal_weight,252,0.15135261955180868,0.2160038524438884,0.7006940748481593,-0.2787245867171574,1.5236892003153513,0.03750133303016742,0.6983272906922836,2021-01-04,2023-12-29
combined_min_variance,Combined Minimum Variance,combined,min_variance,252,0.054849781902733596,0.12634806357539846,0.4341165218571148,-0.15465388041832928,1.1729939536136216,0.12953427869798942,0.4212249978373569,2021-01-04,2023-12-29
combined_max_sharpe,Combined Maximum Sharpe,combined,max_sharpe,252,0.17300551409649012,0.23249630973741714,0.7441215488189197,-0.2274344171482764,1.6109244026375482,0.2845191237942271,0.7271738023685168,2021-01-04,2023-12-29
combined_risk_parity,Combined Risk Parity (ERC),combined,risk_parity,252,0.139649459377027,0.16204975373268246,0.8617690317962036,-0.19475736187279713,1.4778760725698434,0.03663193576863396,0.858733374446826,2021-01-04,2023-12-29
combined_hrp,Combined Hierarchical Risk Parity,combined,hrp,252,0.09779925679408641,0.13954025002659684,0.7008677193529863,-0.17855538681509386,1.3215584668026905,0.10338107394333057,0.6912251104901141,2021-01-04,2023-12-29
equity_equal_weight,Equity-only Equal Weight,equity,equal_weight,252,0.12642379781817437,0.16117980666586584,0.7843649923234955,-0.2024921015251171,1.4272168148150308,0.026482635192591895,0.782185654945974,2021-01-04,2023-12-29
equity_min_variance,Equity-only Minimum Variance,equity,min_variance,252,0.055019331126388904,0.12612027948813853,0.43624491913343255,-0.15325934621952675,1.1735574158116875,0.12839505743698643,0.42344562918708417,2021-01-04,2023-12-29
equity_max_sharpe,Equity-only Maximum Sharpe,equity,max_sharpe,252,0.06552384168055836,0.17255827582148892,0.37972007641257727,-0.2260756728439416,1.208819291324334,0.2808923622740118,0.3591469190529252,2021-01-04,2023-12-29
equity_risk_parity,Equity-only Risk Parity (ERC),equity,risk_parity,252,0.09912725725239002,0.14533651566186703,0.6820533490909796,-0.1849269421291151,1.326341222958962,0.030739438313426806,0.679303895643173,2021-01-04,2023-12-29
equity_hrp,Equity-only Hierarchical Risk Parity,equity,hrp,252,0.08362401392162311,0.13682048912012673,0.6111951101724409,-0.17385837407298044,1.2712197764588697,0.11945768356610523,0.5999453960578167,2021-01-04,2023-12-29
crypto_equal_weight,Crypto-only Equal Weight,crypto,equal_weight,365,0.4050471763369503,0.8189033644058298,0.49462145833390203,-0.8157130881593323,2.7737845161866828,0.057841474599116566,0.49344385398828994,2021-01-01,2023-12-31
crypto_min_variance,Crypto-only Minimum Variance,crypto,min_variance,365,0.5980985325393897,0.7156374665886992,0.8357563158206429,-0.719886466121119,4.0814140778044266,0.10155487551735792,0.8330780566259529,2021-01-01,2023-12-31
crypto_max_sharpe,Crypto-only Maximum Sharpe,crypto,max_sharpe,365,-0.030111081541665974,0.7597811329167073,-0.03963125726230289,-0.8558728314289143,0.9123594860377757,0.21827322773171454,-0.04297104140807947,2021-01-01,2023-12-31
crypto_risk_parity,Crypto-only Risk Parity (ERC),crypto,risk_parity,365,0.4430568197500764,0.7990113645167616,0.5545062804182205,-0.7988672383084541,3.0050402595796206,0.06250732202799822,0.5531661624119306,2021-01-01,2023-12-31
crypto_hrp,Crypto-only Hierarchical Risk Parity,crypto,hrp,365,0.432274176100361,0.7694637459102801,0.5617862808974555,-0.7806822720099831,2.938180587236697,0.10443261706199114,0.5594644308644409,2021-01-01,2023-12-31
equity_max_sharpe_tilt_vader,Equity Max Sharpe + Sentiment Tilt (VADER),equity,max_sharpe_tilt_vader,252,0.06150330266187076,0.17874479064004747,0.344084448232815,-0.2198610613342742,1.1952409435328337,0.29870061429968386,0.3230312064474244,2021-01-04,2023-12-29
equity_max_sharpe_tilt_finvader,Equity Max Sharpe + Sentiment Tilt (Fin-VADER),equity,max_sharpe_tilt_finvader,252,0.06094621247902254,0.17838724066455583,0.3416511867775759,-0.21400233296739202,1.1933675566878512,0.29999143997032474,0.32046224625849784,2021-01-04,2023-12-29
